Unnamed: 0,Center,Left,Right,Steering,Throttle,Brake,Speed,u1,u2,u3,u4,/media/dev-mk2/Expansion/driving_data/IMG/center_2026_03_05_10_29_15_699.jpg,/media/dev-mk2/Expansion/driving_data/IMG/left_2026_03_05_10_29_15_699.jpg,/media/dev-mk2/Expansion/driving_data/IMG/right_2026_03_05_10_29_15_699.jpg,0,0.1,0.2,8.316626E-06,/media/dev-mk2/Expansion/driving_data/IMG/center_2026_03_05_11_11_16_520.jpg,/media/dev-mk2/Expansion/driving_data/IMG/left_2026_03_05_11_11_16_520.jpg,/media/dev-mk2/Expansion/driving_data/IMG/right_2026_03_05_11_11_16_520.jpg,5.756563E-06
0.0,/media/dev-mk2/Expansion/driving_data/IMG/center_2026_03_04_23_14_02_784.jpg,/media/dev-mk2/Expansion/driving_data/IMG/left_2026_03_04_23_14_02_784.jpg,/media/dev-mk2/Expansion/driving_data/IMG/right_2026_03_04_23_14_02_784.jpg,0.0,0.1,0.2,2.493603e-06,/media/dev-mk2/Expansion/driving_data/IMG/center_2026_03_04_23_27_13_519.jpg,/media/dev-mk2/Expansion/driving_data/IMG/left_2026_03_04_23_27_13_519.jpg,/media/dev-mk2/Expansion/driving_data/IMG/right_2026_03_04_23_27_13_519.jpg,1.094352e-05,,,,,,,,,,,
1.0,/media/dev-mk2/Expansion/driving_data/IMG/center_2026_03_04_23_14_02_852.jpg,/media/dev-mk2/Expansion/driving_data/IMG/left_2026_03_04_23_14_02_852.jpg,/media/dev-mk2/Expansion/driving_data/IMG/right_2026_03_04_23_14_02_852.jpg,0.0,0.0,0.0,6.651942e-06,,,,,,,,,,,,,,,
2.0,/media/dev-mk2/Expansion/driving_data/IMG/center_2026_03_04_23_14_02_922.jpg,/media/dev-mk2/Expansion/driving_data/IMG/left_2026_03_04_23_14_02_922.jpg,/media/dev-mk2/Expansion/driving_data/IMG/right_2026_03_04_23_14_02_922.jpg,0.0,0.0,0.0,7.150423e-06,,,,,,,,,,,,,,,
3.0,/media/dev-mk2/Expansion/driving_data/IMG/center_2026_03_04_23_14_02_991.jpg,/media/dev-mk2/Expansion/driving_data/IMG/left_2026_03_04_23_14_02_991.jpg,/media/dev-mk2/Expansion/driving_data/IMG/right_2026_03_04_23_14_02_991.jpg,0.0,0.0,0.0,5.054641e-06,,,,,,,,,,,,,,,
4.0,/media/dev-mk2/Expansion/driving_data/IMG/center_2026_03_04_23_14_03_064.jpg,/media/dev-mk2/Expansion/driving_data/IMG/left_2026_03_04_23_14_03_064.jpg,/media/dev-mk2/Expansion/driving_data/IMG/right_2026_03_04_23_14_03_064.jpg,0.0,0.0,0.0,6.085425e-06,,,,,,,,,,,,,,,
5.0,/media/dev-mk2/Expansion/driving_data/IMG/center_2026_03_04_23_14_03_137.jpg,/media/dev-mk2/Expansion/driving_data/IMG/left_2026_03_04_23_14_03_137.jpg,/media/dev-mk2/Expansion/driving_data/IMG/right_2026_03_04_23_14_03_137.jpg,0.0,0.0,0.0,6.750439e-06,,,,,,,,,,,,,,,
6.0,/media/dev-mk2/Expansion/driving_data/IMG/center_2026_03_04_23_14_03_206.jpg,/media/dev-mk2/Expansion/driving_data/IMG/left_2026_03_04_23_14_03_206.jpg,/media/dev-mk2/Expansion/driving_data/IMG/right_2026_03_04_23_14_03_206.jpg,0.0,0.0,0.0,8.014092e-06,,,,,,,,,,,,,,,
7.0,/media/dev-mk2/Expansion/driving_data/IMG/center_2026_03_04_23_14_03_275.jpg,/media/dev-mk2/Expansion/driving_data/IMG/left_2026_03_04_23_14_03_275.jpg,/media/dev-mk2/Expansion/driving_data/IMG/right_2026_03_04_23_14_03_275.jpg,0.0,0.0,0.0,8.346557e-06,,,,,,,,,,,,,,,
8.0,/media/dev-mk2/Expansion/driving_data/IMG/center_2026_03_04_23_14_03_345.jpg,/media/dev-mk2/Expansion/driving_data/IMG/left_2026_03_04_23_14_03_345.jpg,/media/dev-mk2/Expansion/driving_data/IMG/right_2026_03_04_23_14_03_345.jpg,0.0,0.0,0.0,7.946908e-06,,,,,,,,,,,,,,,
9.0,/media/dev-mk2/Expansion/driving_data/IMG/center_2026_03_04_23_14_03_414.jpg,/media/dev-mk2/Expansion/driving_data/IMG/left_2026_03_04_23_14_03_414.jpg,/media/dev-mk2/Expansion/driving_data/IMG/right_2026_03_04_23_14_03_414.jpg,0.0,0.0,0.0,1.240465e-05,,,,,,,,,,,,,,,
10.0,/media/dev-mk2/Expansion/driving_data/IMG/center_2026_03_04_23_14_03_483.jpg,/media/dev-mk2/Expansion/driving_data/IMG/left_2026_03_04_23_14_03_483.jpg,/media/dev-mk2/Expansion/driving_data/IMG/right_2026_03_04_23_14_03_483.jpg,0.0,0.0,0.0,1.040846e-05,,,,,,,,,,,,,,,
11.0,/media/dev-mk2/Expansion/driving_data/IMG/center_2026_03_04_23_14_03_553.jpg,/media/dev-mk2/Expansion/driving_data/IMG/left_2026_03_04_23_14_03_553.jpg,/media/dev-mk2/Expansion/driving_data/IMG/right_2026_03_04_23_14_03_553.jpg,0.0,0.0,0.0,1.80989e-06,,,,,,,,,,,,,,,
12.0,/media/dev-mk2/Expansion/driving_data/IMG/center_2026_03_04_23_14_03_627.jpg,/media/dev-mk2/Expansion/driving_data/IMG/left_2026_03_04_23_14_03_627.jpg,/media/dev-mk2/Expansion/driving_data/IMG/right_2026_03_04_23_14_03_627.jpg,0.0,0.1462741,0.0,0.04372711,,,,,,,,,,,,,,,
13.0,/media/dev-mk2/Expansion/driving_data/IMG/center_2026_03_04_23_14_03_692.jpg,/media/dev-mk2/Expansion/driving_data/IMG/left_2026_03_04_23_14_03_692.jpg,/media/dev-mk2/Expansion/driving_data/IMG/right_2026_03_04_23_14_03_692.jpg,0.0,0.3335402,0.0,0.2489302,,,,,,,,,,,,,,,
